 mean[omega_x],mean[omega_y],mean[omega_z],dU/dy
   7.0942255729585929E-003 ,   1.7347234759768071E-018 ,   9.0157477373090031E-002 ,  0.17387290993054477     
   7.3502043450348054E-003 ,   1.0408340855860843E-017 ,   8.8361755505489331E-002 ,  0.17198661479970784     
   7.6727011201563489E-003 ,  -2.9490299091605721E-017 ,   8.6712162856350000E-002 ,  0.17024431669927606     
   8.0638282302923012E-003 ,  -3.2959746043559335E-017 ,   8.5203085834065564E-002 ,  0.16865436052128088     
   8.5248277543761956E-003 ,  -1.7347234759768071E-018 ,   8.3828017146162948E-002 ,  0.16719958527815446     
   9.0560605771225142E-003 ,  -8.6736173798840355E-018 ,   8.2579730504641957E-002 ,  0.16589861901976502     
   9.6570008037733211E-003 ,  -3.4694469519536142E-018 ,   8.1450454854207599E-002 ,  0.16476932620386425     
   1.0326235515130171E-002 ,   2.0816681711721685E-017 ,   8.0432046226793272E-002 ,  0.16380947404325441     
   1.1061470107307318E-002 ,  -1.9081958235744878E-017 ,   7.9516154719327298E-002 ,  0.16300519331443394     
   1.1859539807877973E-002 ,   2.4286128663675299E-017 ,   7.8694383747302837E-002 ,  0.16235565660471538     
   1.2716428334468444E-002 ,   2.9490299091605721E-017 ,   7.7958438685805653E-002 ,  0.16189122118439170     
   1.3627294995047636E-002 ,  -5.2041704279304213E-018 ,   7.7300262239685696E-002 ,  0.16160579822174179     
   1.4586511752902225E-002 ,   4.6837533851373792E-017 ,   7.6712154298850393E-002 ,  0.16147243224190388     
   1.5587711831355454E-002 ,   2.0816681711721685E-017 ,   7.6186874528592699E-002 ,  0.16146189186737320     
   1.6623851262402071E-002 ,  -3.2959746043559335E-017 ,   7.5717726429441828E-002 ,  0.16156585148397248     
   1.7687284356008810E-002 ,   1.2143064331837650E-017 ,   7.5298622030325779E-002 ,  0.16176149402500817     
   1.8769853375339068E-002 ,   8.6736173798840355E-018 ,   7.4924126753615108E-002 ,  0.16204210815795264     
   1.9862991774848633E-002 ,   3.1225022567582528E-017 ,   7.4589484347329024E-002 ,  0.16241026976310802     
   2.0957839260122027E-002 ,   8.6736173798840355E-018 ,   7.4290622165683010E-002 ,  0.16285018430078441     
   2.2045365765560643E-002 ,  -5.3776427755281020E-017 ,   7.4024137527451822E-002 ,  0.16334055198841779     
   2.3116500351595706E-002 ,  -2.6020852139652106E-017 ,   7.3787266395500400E-002 ,  0.16386653049711264     
   2.4162260140289327E-002 ,   8.6736173798840355E-018 ,   7.3577836167179611E-002 ,  0.16440639985181255     
   2.5173873869782089E-002 ,   1.3877787807814457E-017 ,   7.3394204884654576E-002 ,  0.16493457255954158     
   2.6142894556083346E-002 ,  -1.7347234759768071E-018 ,   7.3235189593388594E-002 ,  0.16544208625224760     
   2.7061296161997449E-002 ,   3.4694469519536142E-017 ,   7.3099986828817881E-002 ,  0.16591858773622140     
   2.7921550091824059E-002 ,  -1.7347234759768071E-018 ,   7.2988088244627700E-002 ,  0.16636019077183109     
   2.8716678709512750E-002 ,   5.2041704279304213E-018 ,   7.2899194185250732E-002 ,  0.16675126191617362     
   2.9440284825183537E-002 ,   3.4694469519536142E-018 ,   7.2833127553826982E-002 ,  0.16708192488121310     
   3.0086558083665692E-002 ,   1.0408340855860843E-017 ,   7.2789749669009710E-002 ,  0.16734676281376409     
   3.0650261267636494E-002 ,  -1.3877787807814457E-017 ,   7.2768879006041759E-002 ,  0.16752972107746994     
   3.1126701529243780E-002 ,  -1.3877787807814457E-017 ,   7.2770212883837351E-002 ,  0.16762748268199937     
   3.1511693308932429E-002 ,  -1.9081958235744878E-017 ,   7.2793251432874101E-002 ,  0.16764982829797534     
   3.1801521003441122E-002 ,   1.3877787807814457E-017 ,   7.2837222730313164E-002 ,  0.16759629773201992     
   3.1992910123605139E-002 ,   1.5612511283791264E-017 ,   7.2901008001296119E-002 ,  0.16745975265023910     
   3.2083015570911991E-002 ,  -1.5612511283791264E-017 ,   7.2983066407731445E-002 ,  0.16724058546732495     
   3.2069434636169000E-002 ,   1.9081958235744878E-017 ,   7.3081360241259247E-002 ,  0.16694151963195919     
   3.1950250334826402E-002 ,  -3.2959746043559335E-017 ,   7.3193283232757478E-002 ,  0.16657005028552718     
   3.1724107796734687E-002 ,  -3.4694469519536142E-018 ,   7.3315596950068132E-002 ,  0.16612279866218704     
   3.1390322800453611E-002 ,   1.2143064331837650E-017 ,   7.3444382496907212E-002 ,  0.16559931581917042     
   3.0949017476636351E-002 ,  -1.7347234759768071E-017 ,   7.3575016497722634E-002 ,  0.16500001746761980     
   3.0401274079699440E-002 ,  -5.2041704279304213E-018 ,   7.3702181244137577E-002 ,  0.16433257034740301     
   2.9749293960763971E-002 ,   1.3877787807814457E-017 ,   7.3819918625055145E-002 ,  0.16360198037700152     
   2.8996545886063471E-002 ,  -3.2959746043559335E-017 ,   7.3921736006676508E-002 ,  0.16280768492932204     
   2.8147886026994341E-002 ,   3.4694469519536142E-018 ,   7.4000769676637032E-002 ,  0.16195789062128335     
   2.7209631661752769E-002 ,   5.2041704279304213E-018 ,   7.4050007980066043E-002 ,  0.16106217050141208     
   2.6189572192382188E-002 ,   3.1225022567582528E-017 ,   7.4062571944269823E-002 ,  0.16014056607843552     
   2.5096904729903325E-002 ,  -5.2041704279304213E-018 ,   7.4032045974007255E-002 ,  0.15920043125248054     
   2.3942087297400393E-002 ,  -1.0408340855860843E-017 ,   7.3952845025917618E-002 ,  0.15824473980828577     
   2.2736610413627768E-002 ,  -3.1225022567582528E-017 ,   7.3820597643925262E-002 ,  0.15726364950280236     
   2.1492696805744515E-002 ,   4.5102810375396984E-017 ,   7.3632516905316622E-002 ,  0.15624785467865301     
   2.0222948176385199E-002 ,   1.9081958235744878E-017 ,   7.3387724824655526E-002 ,  0.15520621210177304     
   1.8939965906351205E-002 ,  -3.4694469519536142E-018 ,   7.3087491712603175E-002 ,  0.15416459608023045     
   1.7655977839400136E-002 ,   1.0408340855860843E-017 ,   7.2735352116603230E-002 ,  0.15313652001307029     
   1.6382504703391882E-002 ,  -3.2959746043559335E-017 ,   7.2337064554038835E-002 ,  0.15209589676734925     
   1.5130096738410169E-002 ,   8.6736173798840355E-018 ,   7.1900393582836911E-002 ,  0.15102768069835956     
   1.3908163983288285E-002 ,   2.0816681711721685E-017 ,   7.1434708907621533E-002 ,  0.14993655313293178     
   1.2724913379901745E-002 ,  -1.7347234759768071E-017 ,   7.0950415165315833E-002 ,  0.14883510123907301     
   1.1587393785083369E-002 ,   3.2959746043559335E-017 ,   7.0458245135691128E-002 ,  0.14769909103465456     
   1.0501637638376318E-002 ,   1.7347234759768071E-017 ,   6.9968465769101179E-002 ,  0.14653992880101879     
   9.4728768076180973E-003 ,  -2.6020852139652106E-017 ,   6.9490058568562829E-002 ,  0.14535980910214993     
   8.5058012164713915E-003 ,  -1.7347234759768071E-018 ,   6.9029942300328134E-002 ,  0.14415551614631408     
   7.6048232592032241E-003 ,  -2.2551405187698492E-017 ,   6.8592306338639636E-002 ,  0.14294003661342522     
   6.7743095440768852E-003 ,  -3.4694469519536142E-018 ,   6.8178117345448264E-002 ,  0.14173568848085577     
   6.0187446879905460E-003 ,   3.4694469519536142E-018 ,   6.7784850894582027E-002 ,  0.14055685274853391     
   5.3427997304812793E-003 ,   0.0000000000000000      ,   6.7406483631118230E-002 ,  0.13941881278720469     
   4.7512896075680095E-003 ,   2.2551405187698492E-017 ,   6.7033761299302927E-002 ,  0.13833717011697816     
   4.2490186866337310E-003 ,  -1.7347234759768071E-017 ,   6.6654734486551848E-002 ,  0.13731845268879661     
   3.8405286946638752E-003 ,  -1.0408340855860843E-017 ,   6.6255528800937366E-002 ,  0.13634715095397745     
   3.5297772470514258E-003 ,   1.2143064331837650E-017 ,   6.5821291736583160E-002 ,  0.13540110382660395     
   3.3197854316859903E-003 ,  -1.2143064331837650E-017 ,   6.5337237646495516E-002 ,  0.13445406025603285     
   3.2122977968726263E-003 ,   3.4694469519536142E-018 ,   6.4789698265264484E-002 ,  0.13348427825753201     
   3.2074966967548368E-003 ,  -1.3877787807814457E-017 ,   6.4167081964077610E-002 ,  0.13248349770385034     
   3.3038053560930170E-003 ,  -2.7755575615628914E-017 ,   6.3460652112404231E-002 ,  0.13147332304774162     
   3.4978014098963825E-003 ,  -5.2041704279304213E-018 ,   6.2665053535543552E-002 ,  0.13042983219910398     
   3.7842471785647846E-003 ,   1.5612511283791264E-017 ,   6.1778544018202833E-002 ,  0.12932789507519551     
   4.1562272663930059E-003 ,   3.2959746043559335E-017 ,   6.0802921200851345E-002 ,  0.12817111073014600     
