              yp,          delta_y,             gr_y,            AR_xy
        5.474898,         0.035085,         1.006979,         9.842224
        5.510230,         0.035331,         1.007024,         9.773578
        5.545811,         0.035581,         1.007068,         9.704982
        5.581645,         0.035834,         1.007113,         9.636440
        5.617735,         0.036091,         1.007158,         9.567954
        5.654086,         0.036350,         1.007203,         9.499527
        5.690700,         0.036614,         1.007249,         9.431162
        5.727581,         0.036881,         1.007295,         9.362861
        5.764733,         0.037152,         1.007341,         9.294628
        5.802159,         0.037426,         1.007388,         9.226465
        5.839863,         0.037705,         1.007435,         9.158376
        5.877850,         0.037987,         1.007482,         9.090363
        5.916123,         0.038273,         1.007529,         9.022428
        5.954685,         0.038563,         1.007577,         8.954576
        5.993542,         0.038857,         1.007626,         8.886808
        6.032697,         0.039155,         1.007674,         8.819127
        6.072154,         0.039457,         1.007723,         8.751537
        6.111918,         0.039764,         1.007773,         8.684040
        6.151994,         0.040075,         1.007822,         8.616639
        6.192384,         0.040391,         1.007872,         8.549337
        6.233095,         0.040711,         1.007923,         8.482136
        6.274130,         0.041035,         1.007973,         8.415039
        6.315494,         0.041364,         1.008025,         8.348050
        6.357193,         0.041699,         1.008076,         8.281170
        6.399230,         0.042037,         1.008128,         8.214404
        6.441612,         0.042381,         1.008180,         8.147753
        6.484342,         0.042730,         1.008233,         8.081220
        6.527426,         0.043084,         1.008286,         8.014808
        6.570870,         0.043444,         1.008340,         7.948520
        6.614678,         0.043808,         1.008394,         7.882359
        6.658856,         0.044178,         1.008448,         7.816328
        6.703410,         0.044554,         1.008503,         7.750428
        6.748346,         0.044935,         1.008558,         7.684663
        6.793668,         0.045322,         1.008614,         7.619036
        6.839383,         0.045715,         1.008670,         7.553550
        6.885497,         0.046114,         1.008726,         7.488207
        6.932017,         0.046519,         1.008783,         7.423009
        6.978947,         0.046930,         1.008841,         7.357960
        7.026295,         0.047348,         1.008899,         7.293063
        7.074067,         0.047772,         1.008957,         7.228319
        7.122270,         0.048203,         1.009016,         7.163733
        7.170911,         0.048640,         1.009075,         7.099306
        7.219995,         0.049085,         1.009135,         7.035040
        7.269531,         0.049536,         1.009195,         6.970940
        7.319526,         0.049995,         1.009256,         6.907007
        7.369986,         0.050460,         1.009318,         6.843245
        7.420920,         0.050934,         1.009379,         6.779655
        7.472334,         0.051415,         1.009442,         6.716241
        7.524237,         0.051903,         1.009505,         6.653005
        7.576637,         0.052400,         1.009568,         6.589949
        7.629542,         0.052905,         1.009632,         6.527077
        7.682960,         0.053418,         1.009697,         6.464391
        7.736899,         0.053939,         1.009762,         6.401894
        7.791368,         0.054469,         1.009828,         6.339588
